county,precinct,office,district,party,candidate,eslate,escan,absentee_eslate,absentee_mail,absentee_walk_in,votes
Clark,Absentee,Straight Party,,REP,Republican,,,80,21,55,156
Clark,Becknerville,Straight Party,,REP,Republican,64,128,,,,
Clark,Boonesboro,Straight Party,,REP,Republican,37,74,,,,
Clark,Hampton,Straight Party,,REP,Republican,16,84,,,,
Clark,Stoneybrook,Straight Party,,REP,Republican,47,92,,,,
Clark,Calmes,Straight Party,,REP,Republican,38,80,,,,
Clark,Forest Grove,Straight Party,,REP,Republican,47,91,,,,
Clark,Garner,Straight Party,,REP,Republican,27,37,,,,
Clark,Goodes,Straight Party,,REP,Republican,38,85,,,,
Clark,Pinchem,Straight Party,,REP,Republican,39,73,,,,
Clark,Ecton,Straight Party,,REP,Republican,54,110,,,,
Clark,Absentee,Straight Party,,DEM,Democratic,,,40,41,43,
Clark,Becknerville,Straight Party,,DEM,Democratic,20,75,,,,
Clark,Boonesboro,Straight Party,,DEM,Democratic,20,43,,,,
Clark,Hampton,Straight Party,,DEM,Democratic,22,51,,,,
Clark,Stoneybrook,Straight Party,,DEM,Democratic,25,46,,,,
Clark,Calmes,Straight Party,,DEM,Democratic,17,33,,,,
Clark,Forest Grove,Straight Party,,DEM,Democratic,23,63,,,,
Clark,Garner,Straight Party,,DEM,Democratic,27,36,,,,
Clark,Goodes,Straight Party,,DEM,Democratic,18,34,,,,
Clark,Pinchem,Straight Party,,DEM,Democratic,17,42,,,,
Clark,Ecton,Straight Party,,DEM,Democratic,32,46,,,,
Clark,Absentee,Straight Party,,LIB,Libertarian,,,3,0,0,
Clark,Becknerville,Straight Party,,LIB,Libertarian,0,4,,,,
Clark,Boonesboro,Straight Party,,LIB,Libertarian,1,1,,,,
Clark,Hampton,Straight Party,,LIB,Libertarian,0,1,,,,
Clark,Stoneybrook,Straight Party,,LIB,Libertarian,2,2,,,,
Clark,Calmes,Straight Party,,LIB,Libertarian,2,0,,,,
Clark,Forest Grove,Straight Party,,LIB,Libertarian,0,2,,,,
Clark,Garner,Straight Party,,LIB,Libertarian,2,1,,,,
Clark,Goodes,Straight Party,,LIB,Libertarian,1,1,,,,
Clark,Pinchem,Straight Party,,LIB,Libertarian,1,2,,,,
Clark,Ecton,Straight Party,,LIB,Libertarian,0,4,,,,
Clark,Absentee,U.S. House,6,REP,Andy Barr,,,233,68,166,
Clark,Becknerville,U.S. House,6,REP,Andy Barr,145,520,,,,
Clark,Boonesboro,U.S. House,6,REP,Andy Barr,108,250,,,,
Clark,Hampton,U.S. House,6,REP,Andy Barr,77,287,,,,
Clark,Stoneybrook,U.S. House,6,REP,Andy Barr,144,348,,,,
Clark,Calmes,U.S. House,6,REP,Andy Barr,119,297,,,,
Clark,Forest Grove,U.S. House,6,REP,Andy Barr,130,385,,,,
Clark,Garner,U.S. House,6,REP,Andy Barr,76,88,,,,
Clark,Goodes,U.S. House,6,REP,Andy Barr,107,238,,,,
Clark,Pinchem,U.S. House,6,REP,Andy Barr,97,277,,,,
Clark,Ecton,U.S. House,6,REP,Andy Barr,154,303,,,,
Clark,Absentee,U.S. House,6,DEM,Amy McGrath,,,132,83,107,
Clark,Becknerville,U.S. House,6,DEM,Amy McGrath,69,245,,,,
Clark,Boonesboro,U.S. House,6,DEM,Amy McGrath,66,100,,,,
Clark,Hampton,U.S. House,6,DEM,Amy McGrath,59,187,,,,
Clark,Stoneybrook,U.S. House,6,DEM,Amy McGrath,81,141,,,,
Clark,Calmes,U.S. House,6,DEM,Amy McGrath,78,93,,,,
Clark,Forest Grove,U.S. House,6,DEM,Amy McGrath,58,188,,,,
Clark,Garner,U.S. House,6,DEM,Amy McGrath,54,60,,,,
Clark,Goodes,U.S. House,6,DEM,Amy McGrath,45,71,,,,
Clark,Pinchem,U.S. House,6,DEM,Amy McGrath,47,146,,,,
Clark,Ecton,U.S. House,6,DEM,Amy McGrath,83,130,,,,
Clark,Absentee,U.S. House,6,LIB,Frank Harris,,,1,0,0,
Clark,Becknerville,U.S. House,6,LIB,Frank Harris,0,7,,,,
Clark,Boonesboro,U.S. House,6,LIB,Frank Harris,1,2,,,,
Clark,Hampton,U.S. House,6,LIB,Frank Harris,3,3,,,,
Clark,Stoneybrook,U.S. House,6,LIB,Frank Harris,1,3,,,,
Clark,Calmes,U.S. House,6,LIB,Frank Harris,0,3,,,,
Clark,Forest Grove,U.S. House,6,LIB,Frank Harris,0,6,,,,
Clark,Garner,U.S. House,6,LIB,Frank Harris,0,2,,,,
Clark,Goodes,U.S. House,6,LIB,Frank Harris,1,2,,,,
Clark,Pinchem,U.S. House,6,LIB,Frank Harris,0,3,,,,
Clark,Ecton,U.S. House,6,LIB,Frank Harris,0,3,,,,
Clark,Absentee,U.S. House,6,IND,Rikka L. Wallin,,,1,0,0,
Clark,Becknerville,U.S. House,6,IND,Rikka L. Wallin,1,0,,,,
Clark,Boonesboro,U.S. House,6,IND,Rikka L. Wallin,2,3,,,,
Clark,Hampton,U.S. House,6,IND,Rikka L. Wallin,1,1,,,,
Clark,Stoneybrook,U.S. House,6,IND,Rikka L. Wallin,1,0,,,,
Clark,Calmes,U.S. House,6,IND,Rikka L. Wallin,0,0,,,,
Clark,Forest Grove,U.S. House,6,IND,Rikka L. Wallin,1,0,,,,
Clark,Garner,U.S. House,6,IND,Rikka L. Wallin,0,0,,,,
Clark,Goodes,U.S. House,6,IND,Rikka L. Wallin,1,2,,,,
Clark,Pinchem,U.S. House,6,IND,Rikka L. Wallin,0,3,,,,
Clark,Ecton,U.S. House,6,IND,Rikka L. Wallin,0,1,,,,
Clark,Absentee,U.S. House,6,IND,James Germalic,,,1,0,0,
Clark,Becknerville,U.S. House,6,IND,James Germalic,0,0,,,,
Clark,Boonesboro,U.S. House,6,IND,James Germalic,0,1,,,,
Clark,Hampton,U.S. House,6,IND,James Germalic,0,1,,,,
Clark,Stoneybrook,U.S. House,6,IND,James Germalic,0,1,,,,
Clark,Calmes,U.S. House,6,IND,James Germalic,0,0,,,,
Clark,Forest Grove,U.S. House,6,IND,James Germalic,0,2,,,,
Clark,Garner,U.S. House,6,IND,James Germalic,0,0,,,,
Clark,Goodes,U.S. House,6,IND,James Germalic,1,2,,,,
Clark,Pinchem,U.S. House,6,IND,James Germalic,2,1,,,,
Clark,Ecton,U.S. House,6,IND,James Germalic,0,1,,,,
Clark,Absentee,State Senate,28,REP,Ralph Alvarado,,,234,63,170,
Clark,Becknerville,State Senate,28,REP,Ralph Alvarado,138,509,,,,
Clark,Boonesboro,State Senate,28,REP,Ralph Alvarado,107,235,,,,
Clark,Hampton,State Senate,28,REP,Ralph Alvarado,73,283,,,,
Clark,Stoneybrook,State Senate,28,REP,Ralph Alvarado,137,334,,,,
Clark,Calmes,State Senate,28,REP,Ralph Alvarado,122,265,,,,
Clark,Forest Grove,State Senate,28,REP,Ralph Alvarado,115,363,,,,
Clark,Garner,State Senate,28,REP,Ralph Alvarado,83,82,,,,
Clark,Goodes,State Senate,28,REP,Ralph Alvarado,103,228,,,,
Clark,Pinchem,State Senate,28,REP,Ralph Alvarado,99,297,,,,
Clark,Ecton,State Senate,28,REP,Ralph Alvarado,148,289,,,,
Clark,Absentee,State Senate,28,DEM,Denise Gray,,,132,85,103,
Clark,Becknerville,State Senate,28,DEM,Denise Gray,77,252,,,,
Clark,Boonesboro,State Senate,28,DEM,Denise Gray,70,115,,,,
Clark,Hampton,State Senate,28,DEM,Denise Gray,66,193,,,,
Clark,Stoneybrook,State Senate,28,DEM,Denise Gray,91,154,,,,
Clark,Calmes,State Senate,28,DEM,Denise Gray,74,122,,,,
Clark,Forest Grove,State Senate,28,DEM,Denise Gray,74,203,,,,
Clark,Garner,State Senate,28,DEM,Denise Gray,45,65,,,,
Clark,Goodes,State Senate,28,DEM,Denise Gray,48,84,,,,
Clark,Pinchem,State Senate,28,DEM,Denise Gray,46,131,,,,
Clark,Ecton,State Senate,28,DEM,Denise Gray,92,144,,,,
Clark,Absentee,State House,73,REP,Les Yates,,,241,63,168,
Clark,Becknerville,State House,73,REP,Les Yates,149,539,,,,
