candidate,office,district,party,county,precinct,eslate,escan,votes,absentee_mail,absentee_eslate,absentee_escan,votes
,Straight Party,,REP,Spencer,Taylorsville #1,20,285,305,,,,
,Straight Party,,DEM,Spencer,Taylorsville #1,9,123,132,,,,
Thomas Massie,U.S. House,4,REP,Spencer,Taylorsville #1,56,846,902,,,,
Seth Hall,U.S. House,4,DEM,Spencer,Taylorsville #1,29,339,368,,,,
Mike Moffett,U.S. House,4,IND,Spencer,Taylorsville #1,2,45,47,,,,
Jimmy Higdon,State Senate,14,REP,Spencer,Taylorsville #1,58,846,904,,,,
Stephanie Compton,State Senate,14,DEM,Spencer,Taylorsville #1,29,390,419,,,,
James A Tipton,State Representative,53,REP,Spencer,Taylorsville #1,65,921,986,,,,
Dustin Burley,State Representative,53,DEM,Spencer,Taylorsville #1,25,328,353,,,,
,Straight Party,,REP,Spencer,Waterford #10,4,208,212,,,,
,Straight Party,,DEM,Spencer,Waterford #10,4,51,55,,,,
Thomas Massie,U.S. House,4,REP,Spencer,Waterford #10,15,541,556,,,,
Seth Hall,U.S. House,4,DEM,Spencer,Waterford #10,8,163,171,,,,
Mike Moffett,U.S. House,4,IND,Spencer,Waterford #10,1,17,18,,,,
Jimmy Higdon,State Senate,14,REP,Spencer,Waterford #10,13,540,553,,,,
Stephanie Compton,State Senate,14,DEM,Spencer,Waterford #10,11,181,192,,,,
James A Tipton,State Representative,53,REP,Spencer,Waterford #10,15,554,569,,,,
Dustin Burley,State Representative,53,DEM,Spencer,Waterford #10,9,171,180,,,,
,Straight Party,,REP,Spencer,Elk Creek #4,43,186,229,,,,
,Straight Party,,DEM,Spencer,Elk Creek #4,9,66,75,,,,
Thomas Massie,U.S. House,4,REP,Spencer,Elk Creek #4,98,534,632,,,,
Seth Hall,U.S. House,4,DEM,Spencer,Elk Creek #4,24,175,199,,,,
Mike Moffett,U.S. House,4,IND,Spencer,Elk Creek #4,6,20,26,,,,
Jimmy Higdon,State Senate,14,REP,Spencer,Elk Creek #4,101,540,641,,,,
Stephanie Compton,State Senate,14,DEM,Spencer,Elk Creek #4,30,190,220,,,,
James A Tipton,State Representative,53,REP,Spencer,Elk Creek #4,103,553,656,,,,
Dustin Burley,State Representative,53,DEM,Spencer,Elk Creek #4,25,175,200,,,,
,Straight Party,,REP,Spencer,Elk Creek #8,3,317,320,,,,
,Straight Party,,DEM,Spencer,Elk Creek #8,1,122,123,,,,
Thomas Massie,U.S. House,4,REP,Spencer,Elk Creek #8,6,801,807,,,,
Seth Hall,U.S. House,4,DEM,Spencer,Elk Creek #8,4,272,276,,,,
Mike Moffett,U.S. House,4,IND,Spencer,Elk Creek #8,0,24,24,,,,
Jimmy Higdon,State Senate,14,REP,Spencer,Elk Creek #8,6,800,806,,,,
Stephanie Compton,State Senate,14,DEM,Spencer,Elk Creek #8,4,303,307,,,,
James A Tipton,State Representative,53,REP,Spencer,Elk Creek #8,6,812,818,,,,
Dustin Burley,State Representative,53,DEM,Spencer,Elk Creek #8,4,284,288,,,,
,Straight Party,,REP,Spencer,North Campbranch #9B,10,17,27,,,,
,Straight Party,,DEM,Spencer,North Campbranch #9B,5,6,11,,,,
Thomas Massie,U.S. House,4,REP,Spencer,North Campbranch #9B,22,57,79,,,,
Seth Hall,U.S. House,4,DEM,Spencer,North Campbranch #9B,10,21,31,,,,
Mike Moffett,U.S. House,4,IND,Spencer,North Campbranch #9B,0,2,2,,,,
Jimmy Higdon,State Senate,14,REP,Spencer,North Campbranch #9B,21,60,81,,,,
Stephanie Compton,State Senate,14,DEM,Spencer,North Campbranch #9B,11,21,32,,,,
James A Tipton,State Representative,53,REP,Spencer,North Campbranch #9B,21,64,85,,,,
Dustin Burley,State Representative,53,DEM,Spencer,North Campbranch #9B,11,19,30,,,,
,Straight Party,,REP,Spencer,North Campbranch #9C,2,60,62,,,,
,Straight Party,,DEM,Spencer,North Campbranch #9C,2,22,24,,,,
Thomas Massie,U.S. House,4,REP,Spencer,North Campbranch #9C,9,238,247,,,,
Seth Hall,U.S. House,4,DEM,Spencer,North Campbranch #9C,3,62,65,,,,
Mike Moffett,U.S. House,4,IND,Spencer,North Campbranch #9C,1,12,13,,,,
Jimmy Higdon,State Senate,14,REP,Spencer,North Campbranch #9C,10,229,239,,,,
Stephanie Compton,State Senate,14,DEM,Spencer,North Campbranch #9C,3,80,83,,,,
James A Tipton,State Representative,53,REP,Spencer,North Campbranch #9C,10,242,252,,,,
Dustin Burley,State Representative,53,DEM,Spencer,North Campbranch #9C,3,70,73,,,,
,Straight Party,,REP,Spencer,North Campbranch #9D,0,3,3,,,,
,Straight Party,,DEM,Spencer,North Campbranch #9D,0,3,3,,,,
Thomas Massie,U.S. House,4,REP,Spencer,North Campbranch #9D,1,12,13,,,,
Seth Hall,U.S. House,4,DEM,Spencer,North Campbranch #9D,3,9,12,,,,
Mike Moffett,U.S. House,4,IND,Spencer,North Campbranch #9D,0,0,0,,,,
Jimmy Higdon,State Senate,14,REP,Spencer,North Campbranch #9D,1,15,16,,,,
Stephanie Compton,State Senate,14,DEM,Spencer,North Campbranch #9D,3,6,9,,,,
James A Tipton,State Representative,53,REP,Spencer,North Campbranch #9D,1,12,13,,,,
Dustin Burley,State Representative,53,DEM,Spencer,North Campbranch #9D,3,9,12,,,,
,Straight Party,,REP,Spencer,Little Mount #6,21,107,128,,,,
,Straight Party,,DEM,Spencer,Little Mount #6,9,43,52,,,,
Thomas Massie,U.S. House,4,REP,Spencer,Little Mount #6,60,291,351,,,,
Seth Hall,U.S. House,4,DEM,Spencer,Little Mount #6,23,117,140,,,,
