county,office,district,candidate,party,votes
Adair,U.S. House,1, James Comer Jr.,REP,5624.0
Allen,U.S. House,1, James Comer Jr.,REP,4943.0
Ballard,U.S. House,1, James Comer Jr.,REP,2414.0
Caldwell,U.S. House,1, James Comer Jr.,REP,3476.0
Calloway,U.S. House,1, James Comer Jr.,REP,7818.0
Carlisle,U.S. House,1, James Comer Jr.,REP,1703.0
Casey,U.S. House,1, James Comer Jr.,REP,4141.0
Christian,U.S. House,1, James Comer Jr.,REP,10261.0
Clinton,U.S. House,1, James Comer Jr.,REP,3311.0
Crittenden,U.S. House,1, James Comer Jr.,REP,2548.0
Cumberland,U.S. House,1, James Comer Jr.,REP,2364.0
Fulton,U.S. House,1, James Comer Jr.,REP,1193.0
Graves,U.S. House,1, James Comer Jr.,REP,9683.0
Henderson,U.S. House,1, James Comer Jr.,REP,8746.0
Hickman,U.S. House,1, James Comer Jr.,REP,1235.0
Hopkins,U.S. House,1, James Comer Jr.,REP,11034.0
Livingston,U.S. House,1, James Comer Jr.,REP,2687.0
Logan,U.S. House,1, James Comer Jr.,REP,5753.0
Lyon,U.S. House,1, James Comer Jr.,REP,2283.0
Marion,U.S. House,1, James Comer Jr.,REP,3327.0
Marshall,U.S. House,1, James Comer Jr.,REP,9780.0
McCracken,U.S. House,1, James Comer Jr.,REP,15638.0
McLean,U.S. House,1, James Comer Jr.,REP,2663.0
Metcalfe,U.S. House,1, James Comer Jr.,REP,3300.0
Monroe,U.S. House,1, James Comer Jr.,REP,3843.0
Muhlenberg,U.S. House,1, James Comer Jr.,REP,6249.0
Ohio,U.S. House,1, James Comer Jr.,REP,5889.0
Russell,U.S. House,1, James Comer Jr.,REP,6013.0
Simpson,U.S. House,1, James Comer Jr.,REP,3904.0
Taylor,U.S. House,1, James Comer Jr.,REP,7062.0
Todd,U.S. House,1, James Comer Jr.,REP,2640.0
Trigg,U.S. House,1, James Comer Jr.,REP,3910.0
Union,U.S. House,1, James Comer Jr.,REP,3570.0
Washington,U.S. House,1, James Comer Jr.,REP,128.0
Webster,U.S. House,1, James Comer Jr.,REP,3034.0
Total Votes,U.S. House,1, James Comer Jr.,REP,172167.0
Adair,U.S. House,1,Paul Walker,DEM,1273.0
Allen,U.S. House,1,Paul Walker,DEM,1295.0
Ballard,U.S. House,1,Paul Walker,DEM,1027.0
Caldwell,U.S. House,1,Paul Walker,DEM,1474.0
Calloway,U.S. House,1,Paul Walker,DEM,4809.0
Carlisle,U.S. House,1,Paul Walker,DEM,603.0
Casey,U.S. House,1,Paul Walker,DEM,630.0
Christian,U.S. House,1,Paul Walker,DEM,6622.0
Clinton,U.S. House,1,Paul Walker,DEM,516.0
Crittenden,U.S. House,1,Paul Walker,DEM,808.0
Cumberland,U.S. House,1,Paul Walker,DEM,422.0
Fulton,U.S. House,1,Paul Walker,DEM,696.0
Graves,U.S. House,1,Paul Walker,DEM,3701.0
Henderson,U.S. House,1,Paul Walker,DEM,6247.0
Hickman,U.S. House,1,Paul Walker,DEM,521.0
Hopkins,U.S. House,1,Paul Walker,DEM,5055.0
Livingston,U.S. House,1,Paul Walker,DEM,1136.0
Logan,U.S. House,1,Paul Walker,DEM,2893.0
Lyon,U.S. House,1,Paul Walker,DEM,1169.0
Marion,U.S. House,1,Paul Walker,DEM,2750.0
Marshall,U.S. House,1,Paul Walker,DEM,4576.0
