county,precinct,office,district,party,candidate,absentee_mail,absentee_person,eslate,escan,votes
Owsley,Absentee,Straight Party,,REP,Republican,13,14,,,27
Owsley,Cow Creek,Straight Party,,REP,Republican,,,,31,31
Owsley,South Booneville,Straight Party,,REP,Republican,,,,56,56
Owsley,Indian Creek,Straight Party,,REP,Republican,,,,15,15
Owsley,Island Creek,Straight Party,,REP,Republican,,,,23,23
Owsley,Sturgeon,Straight Party,,REP,Republican,,,,33,33
Owsley,Elk Lick,Straight Party,,REP,Republican,,,16,39,55
Owsley,North Booneville,Straight Party,,REP,Republican,,,,49,49
Owsley,North Booneville East,Straight Party,,REP,Republican,,,,36,36
Owsley,Absentee,Straight Party,,DEM,Democratic,4,6,,,10
Owsley,Cow Creek,Straight Party,,DEM,Democratic,,,,11,11
Owsley,South Booneville,Straight Party,,DEM,Democratic,,,,15,15
Owsley,Indian Creek,Straight Party,,DEM,Democratic,,,,4,4
Owsley,Island Creek,Straight Party,,DEM,Democratic,,,,6,6
Owsley,Sturgeon,Straight Party,,DEM,Democratic,,,,9,9
Owsley,Elk Lick,Straight Party,,DEM,Democratic,,,2,13,15
Owsley,North Booneville,Straight Party,,DEM,Democratic,,,,26,26
Owsley,North Booneville East,Straight Party,,DEM,Democratic,,,,12,12
Owsley,Absentee,U.S. House,5,REP,"Harold ""Hal"" Rogers",95,109,,,204
Owsley,Cow Creek,U.S. House,5,REP,"Harold ""Hal"" Rogers",,,,155,155
Owsley,South Booneville,U.S. House,5,REP,"Harold ""Hal"" Rogers",,,,250,250
Owsley,Indian Creek,U.S. House,5,REP,"Harold ""Hal"" Rogers",,,,110,110
Owsley,Island Creek,U.S. House,5,REP,"Harold ""Hal"" Rogers",,,,81,81
Owsley,Sturgeon,U.S. House,5,REP,"Harold ""Hal"" Rogers",,,,194,194
Owsley,Elk Lick,U.S. House,5,REP,"Harold ""Hal"" Rogers",,,52,148,200
Owsley,North Booneville,U.S. House,5,REP,"Harold ""Hal"" Rogers",,,,205,205
Owsley,North Booneville East,U.S. House,5,REP,"Harold ""Hal"" Rogers",,,,134,134
Owsley,Absentee,U.S. House,5,DEM,Kenneth S. Stepp,12,27,,,39
Owsley,Cow Creek,U.S. House,5,DEM,Kenneth S. Stepp,,,,23,23
Owsley,South Booneville,U.S. House,5,DEM,Kenneth S. Stepp,,,,37,37
Owsley,Indian Creek,U.S. House,5,DEM,Kenneth S. Stepp,,,,17,17
Owsley,Island Creek,U.S. House,5,DEM,Kenneth S. Stepp,,,,16,16
Owsley,Sturgeon,U.S. House,5,DEM,Kenneth S. Stepp,,,,33,33
Owsley,Elk Lick,U.S. House,5,DEM,Kenneth S. Stepp,,,8,32,40
Owsley,North Booneville,U.S. House,5,DEM,Kenneth S. Stepp,,,,54,54
Owsley,North Booneville East,U.S. House,5,DEM,Kenneth S. Stepp,,,,29,29
Owsley,Absentee,State House,91,REP,"Gary ""Toby"" Herald",73,68,,,141
Owsley,Cow Creek,State House,91,REP,"Gary ""Toby"" Herald",,,,91,91
Owsley,South Booneville,State House,91,REP,"Gary ""Toby"" Herald",,,,166,166
Owsley,Indian Creek,State House,91,REP,"Gary ""Toby"" Herald",,,,63,63
Owsley,Island Creek,State House,91,REP,"Gary ""Toby"" Herald",,,,57,57
Owsley,Sturgeon,State House,91,REP,"Gary ""Toby"" Herald",,,,145,145
Owsley,Elk Lick,State House,91,REP,"Gary ""Toby"" Herald",,,32,99,131
Owsley,North Booneville,State House,91,REP,"Gary ""Toby"" Herald",,,,117,117
Owsley,North Booneville East,State House,91,REP,"Gary ""Toby"" Herald",,,,69,69
Owsley,Absentee,State House,91,DEM,Cluster Howard,32,71,,,103
Owsley,Cow Creek,State House,91,DEM,Cluster Howard,,,,95,95
Owsley,South Booneville,State House,91,DEM,Cluster Howard,,,,120,120
Owsley,Indian Creek,State House,91,DEM,Cluster Howard,,,,63,63
Owsley,Island Creek,State House,91,DEM,Cluster Howard,,,,38,38
Owsley,Sturgeon,State House,91,DEM,Cluster Howard,,,,81,81
Owsley,Elk Lick,State House,91,DEM,Cluster Howard,,,27,83,110
Owsley,North Booneville,State House,91,DEM,Cluster Howard,,,,151,151
Owsley,North Booneville East,State House,91,DEM,Cluster Howard,,,,98,98
Owsley,Absentee,Ballots Cast,,,,111,156,,,267
Owsley,Cow Creek,Ballots Cast,,,,,,,209,209
Owsley,South Booneville,Ballots Cast,,,,,,,315,315
Owsley,Indian Creek,Ballots Cast,,,,,,,146,146
Owsley,Island Creek,Ballots Cast,,,,,,,105,105
Owsley,Sturgeon,Ballots Cast,,,,,,,251,251
Owsley,Elk Lick,Ballots Cast,,,,,,65,199,264
Owsley,North Booneville,Ballots Cast,,,,,,,303,303
Owsley,North Booneville East,Ballots Cast,,,,,,,188,188
