candidate,office,district,party,county,precinct,votes
,Ballots Cast,,,Muhlenberg,Precinct AB,917
,Straight Party,,REP,Muhlenberg,Precinct AB,85
,Straight Party,,DEM,Muhlenberg,Precinct AB,162
James R. Comer,U.S. House,1,REP,Muhlenberg,Precinct AB,461
Paul Walker,U.S. House,1,DEM,Muhlenberg,Precinct AB,388
C B Embry Jr.,State Senate,6,REP,Muhlenberg,Precinct AB,458
Crystal Chappell,State Senate,6,DEM,Muhlenberg,Precinct AB,416
Melinda Gibbons Prunty,State Representative,15,REP,Muhlenberg,Precinct AB,422
Brent Yonts,State Representative,15,DEM,Muhlenberg,Precinct AB,470
,Ballots Cast,,,Muhlenberg,Precinct A101,139
,Straight Party,,REP,Muhlenberg,Precinct A101,7
,Straight Party,,DEM,Muhlenberg,Precinct A101,37
James R. Comer,U.S. House,1,REP,Muhlenberg,Precinct A101,43
Paul Walker,U.S. House,1,DEM,Muhlenberg,Precinct A101,89
C B Embry Jr.,State Senate,6,REP,Muhlenberg,Precinct A101,44
Crystal Chappell,State Senate,6,DEM,Muhlenberg,Precinct A101,93
Melinda Gibbons Prunty,State Representative,15,REP,Muhlenberg,Precinct A101,46
Brent Yonts,State Representative,15,DEM,Muhlenberg,Precinct A101,90
,Ballots Cast,,,Muhlenberg,Precinct A102,338
,Straight Party,,REP,Muhlenberg,Precinct A102,34
,Straight Party,,DEM,Muhlenberg,Precinct A102,71
James R. Comer,U.S. House,1,REP,Muhlenberg,Precinct A102,132
Paul Walker,U.S. House,1,DEM,Muhlenberg,Precinct A102,179
C B Embry Jr.,State Senate,6,REP,Muhlenberg,Precinct A102,141
Crystal Chappell,State Senate,6,DEM,Muhlenberg,Precinct A102,185
Melinda Gibbons Prunty,State Representative,15,REP,Muhlenberg,Precinct A102,149
Brent Yonts,State Representative,15,DEM,Muhlenberg,Precinct A102,174
,Ballots Cast,,,Muhlenberg,Precinct A103,226
,Straight Party,,REP,Muhlenberg,Precinct A103,13
,Straight Party,,DEM,Muhlenberg,Precinct A103,50
James R. Comer,U.S. House,1,REP,Muhlenberg,Precinct A103,107
Paul Walker,U.S. House,1,DEM,Muhlenberg,Precinct A103,98
C B Embry Jr.,State Senate,6,REP,Muhlenberg,Precinct A103,116
Crystal Chappell,State Senate,6,DEM,Muhlenberg,Precinct A103,101
Melinda Gibbons Prunty,State Representative,15,REP,Muhlenberg,Precinct A103,111
Brent Yonts,State Representative,15,DEM,Muhlenberg,Precinct A103,107
,Ballots Cast,,,Muhlenberg,Precinct A104,300
,Straight Party,,REP,Muhlenberg,Precinct A104,26
,Straight Party,,DEM,Muhlenberg,Precinct A104,55
James R. Comer,U.S. House,1,REP,Muhlenberg,Precinct A104,141
Paul Walker,U.S. House,1,DEM,Muhlenberg,Precinct A104,149
C B Embry Jr.,State Senate,6,REP,Muhlenberg,Precinct A104,150
Crystal Chappell,State Senate,6,DEM,Muhlenberg,Precinct A104,141
Melinda Gibbons Prunty,State Representative,15,REP,Muhlenberg,Precinct A104,146
Brent Yonts,State Representative,15,DEM,Muhlenberg,Precinct A104,146
,Ballots Cast,,,Muhlenberg,Precinct A106,284
,Straight Party,,REP,Muhlenberg,Precinct A106,39
,Straight Party,,DEM,Muhlenberg,Precinct A106,45
James R. Comer,U.S. House,1,REP,Muhlenberg,Precinct A106,133
Paul Walker,U.S. House,1,DEM,Muhlenberg,Precinct A106,131
C B Embry Jr.,State Senate,6,REP,Muhlenberg,Precinct A106,133
Crystal Chappell,State Senate,6,DEM,Muhlenberg,Precinct A106,145
Melinda Gibbons Prunty,State Representative,15,REP,Muhlenberg,Precinct A106,136
Brent Yonts,State Representative,15,DEM,Muhlenberg,Precinct A106,144
,Ballots Cast,,,Muhlenberg,Precinct A107,358
,Straight Party,,REP,Muhlenberg,Precinct A107,31
,Straight Party,,DEM,Muhlenberg,Precinct A107,52
James R. Comer,U.S. House,1,REP,Muhlenberg,Precinct A107,193
Paul Walker,U.S. House,1,DEM,Muhlenberg,Precinct A107,133
C B Embry Jr.,State Senate,6,REP,Muhlenberg,Precinct A107,187
Crystal Chappell,State Senate,6,DEM,Muhlenberg,Precinct A107,153
Melinda Gibbons Prunty,State Representative,15,REP,Muhlenberg,Precinct A107,180
Brent Yonts,State Representative,15,DEM,Muhlenberg,Precinct A107,163
,Ballots Cast,,,Muhlenberg,Precinct B101,401
,Straight Party,,REP,Muhlenberg,Precinct B101,34
,Straight Party,,DEM,Muhlenberg,Precinct B101,78
James R. Comer,U.S. House,1,REP,Muhlenberg,Precinct B101,156
Paul Walker,U.S. House,1,DEM,Muhlenberg,Precinct B101,217
C B Embry Jr.,State Senate,6,REP,Muhlenberg,Precinct B101,154
