county,precinct,office,district,party,candidate,eslate,escan,mail_in,walk_in,votes
Breckenridge,Absentee,Straight Party,,REP,Republican,,,23,94,117
Breckenridge,Absentee,Straight Party,,DEM,Democratic,,,24,34,58
Breckenridge,Absentee,Straight Party,,LIB,Libertarian,,,,2,2
Breckenridge,Absentee,Straight Party,,TPI,Tea Party Independent,,,3,,3
Breckenridge,Absentee,U.S. House,2,REP,S. Brett Guthrie,,,83,308,391
Breckenridge,Absentee,U.S. House,2,DEM,Hank Linderman,,,40,88,128
Breckenridge,Absentee,U.S. House,2,LIB,Thomas A. Loecken,,,4,7,11
Breckenridge,Absentee,State Representative,10,REP,Josh Calloway,,,66,207,273
Breckenridge,Absentee,State Representative,10,DEM,Dean Schamore,,,66,208,274
Breckenridge,Hardinsburg 1,Straight Party,,REP,Republican,13,98,,,111
Breckenridge,Hardinsburg 1,Straight Party,,DEM,Democratic,10,65,,,75
Breckenridge,Hardinsburg 1,Straight Party,,LIB,Libertarian,0,1,,,1
Breckenridge,Hardinsburg 1,Straight Party,,TPI,Tea Party Independent,0,4,,,4
Breckenridge,Hardinsburg 1,U.S. House,2,REP,S. Brett Guthrie,59,421,,,480
Breckenridge,Hardinsburg 1,U.S. House,2,DEM,Hank Linderman,25,176,,,201
Breckenridge,Hardinsburg 1,U.S. House,2,LIB,Thomas A. Loecken,2,11,,,13
Breckenridge,Hardinsburg 1,State Representative,10,REP,Josh Calloway,27,252,,,279
Breckenridge,Hardinsburg 1,State Representative,10,DEM,Dean Schamore,63,381,,,444
Breckenridge,Hardinsburg 2,Straight Party,,REP,Republican,0,53,,,53
Breckenridge,Hardinsburg 2,Straight Party,,DEM,Democratic,1,47,,,48
Breckenridge,Hardinsburg 2,Straight Party,,LIB,Libertarian,0,2,,,2
Breckenridge,Hardinsburg 2,Straight Party,,TPI,Tea Party Independent,0,4,,,4
Breckenridge,Hardinsburg 2,U.S. House,2,REP,S. Brett Guthrie,12,306,,,318
Breckenridge,Hardinsburg 2,U.S. House,2,DEM,Hank Linderman,2,113,,,115
Breckenridge,Hardinsburg 2,U.S. House,2,LIB,Thomas A. Loecken,0,8,,,8
Breckenridge,Hardinsburg 2,State Representative,10,REP,Josh Calloway,3,194,,,197
Breckenridge,Hardinsburg 2,State Representative,10,DEM,Dean Schamore,12,243,,,255
Breckenridge,Cloverport 1,Straight Party,,REP,Republican,6,54,,,60
Breckenridge,Cloverport 1,Straight Party,,DEM,Democratic,3,43,,,46
Breckenridge,Cloverport 1,Straight Party,,LIB,Libertarian,0,2,,,2
Breckenridge,Cloverport 1,Straight Party,,TPI,Tea Party Independent,0,2,,,2
Breckenridge,Cloverport 1,U.S. House,2,REP,S. Brett Guthrie,40,253,,,293
Breckenridge,Cloverport 1,U.S. House,2,DEM,Hank Linderman,11,102,,,113
Breckenridge,Cloverport 1,U.S. House,2,LIB,Thomas A. Loecken,0,9,,,9
Breckenridge,Cloverport 1,State Representative,10,REP,Josh Calloway,23,152,,,175
Breckenridge,Cloverport 1,State Representative,10,DEM,Dean Schamore,29,233,,,262
Breckenridge,Cloverport 2,Straight Party,,REP,Republican,15,70,,,85
Breckenridge,Cloverport 2,Straight Party,,DEM,Democratic,10,35,,,45
Breckenridge,Cloverport 2,Straight Party,,LIB,Libertarian,0,2,,,2
Breckenridge,Cloverport 2,Straight Party,,TPI,Tea Party Independent,2,3,,,5
Breckenridge,Cloverport 2,U.S. House,2,REP,S. Brett Guthrie,46,251,,,297
Breckenridge,Cloverport 2,U.S. House,2,DEM,Hank Linderman,18,113,,,131
Breckenridge,Cloverport 2,U.S. House,2,LIB,Thomas A. Loecken,1,15,,,16
Breckenridge,Cloverport 2,State Representative,10,REP,Josh Calloway,34,168,,,202
Breckenridge,Cloverport 2,State Representative,10,DEM,Dean Schamore,33,235,,,268
Breckenridge,McQuady,Straight Party,,REP,Republican,17,41,,,58
Breckenridge,McQuady,Straight Party,,DEM,Democratic,4,23,,,27
Breckenridge,McQuady,Straight Party,,LIB,Libertarian,0,1,,,1
Breckenridge,McQuady,Straight Party,,TPI,Tea Party Independent,0,2,,,2
Breckenridge,McQuady,U.S. House,2,REP,S. Brett Guthrie,99,234,,,333
Breckenridge,McQuady,U.S. House,2,DEM,Hank Linderman,30,69,,,99
Breckenridge,McQuady,U.S. House,2,LIB,Thomas A. Loecken,2,4,,,6
Breckenridge,McQuady,State Representative,10,REP,Josh Calloway,72,150,,,222
Breckenridge,McQuady,State Representative,10,DEM,Dean Schamore,63,158,,,221
Breckenridge,Union Star,Straight Party,,REP,Republican,,86,,,86
Breckenridge,Union Star,Straight Party,,DEM,Democratic,,58,,,58
Breckenridge,Union Star,Straight Party,,LIB,Libertarian,,0,,,0
Breckenridge,Union Star,Straight Party,,TPI,Tea Party Independent,,0,,,0
Breckenridge,Union Star,U.S. House,2,REP,S. Brett Guthrie,,365,,,365
Breckenridge,Union Star,U.S. House,2,DEM,Hank Linderman,,154,,,154
Breckenridge,Union Star,U.S. House,2,LIB,Thomas A. Loecken,,3,,,3
Breckenridge,Union Star,State Representative,10,REP,Josh Calloway,,264,,,264
Breckenridge,Union Star,State Representative,10,DEM,Dean Schamore,,269,,,269
Breckenridge,Garfield,Straight Party,,REP,Republican,31,100,,,131
Breckenridge,Garfield,Straight Party,,DEM,Democratic,12,38,,,50
Breckenridge,Garfield,Straight Party,,LIB,Libertarian,0,1,,,1
Breckenridge,Garfield,Straight Party,,TPI,Tea Party Independent,0,1,,,1
Breckenridge,Garfield,U.S. House,2,REP,S. Brett Guthrie,103,351,,,454
Breckenridge,Garfield,U.S. House,2,DEM,Hank Linderman,34,100,,,134
Breckenridge,Garfield,U.S. House,2,LIB,Thomas A. Loecken,2,20,,,22
Breckenridge,Garfield,State Representative,10,REP,Josh Calloway,67,270,,,337
Breckenridge,Garfield,State Representative,10,DEM,Dean Schamore,76,217,,,293
Breckenridge,Irvington 1,Straight Party,,REP,Republican,14,77,,,91
Breckenridge,Irvington 1,Straight Party,,DEM,Democratic,15,48,,,63
Breckenridge,Irvington 1,Straight Party,,LIB,Libertarian,0,4,,,4
Breckenridge,Irvington 1,Straight Party,,TPI,Tea Party Independent,2,9,,,11
