candidate,office,district,party,county,precinct,eslate,escan,votes,absentee_mail,absentee_walk_in
,Straight Party,,REP,Hardin,Absentee,,,,105,264
,Straight Party,,DEM,Hardin,Absentee,,,,105,188
S Brett Guthrie,U.S. House,2,,Hardin,Absentee,,,,235,830
Hank Linderman,U.S. House,2,,Hardin,Absentee,,,,187,374
Thomas A Loecken,U.S. House,2,,Hardin,Absentee,,,,6,20
Dennis L. Parrett,State Senate,10,,Hardin,Absentee,,,,288,793
Josh Calloway,State Representative,10,,Hardin,Absentee,,,,21,92
Dean Schamore,State Representative,10,,Hardin,Absentee,,,,35,64
,Straight Party,,REP,Hardin,West Point,18,71,89,,
,Straight Party,,DEM,Hardin,West Point,8,33,41,,
S Brett Guthrie,U.S. House,2,,Hardin,West Point,35,125,160,,
Hank Linderman,U.S. House,2,,Hardin,West Point,21,59,80,,
Thomas A Loecken,U.S. House,2,,Hardin,West Point,1,3,4,,
Dennis L. Parrett,State Senate,10,,Hardin,West Point,34,109,143,,
Josh Calloway,State Representative,10,,Hardin,West Point,,,,,
Dean Schamore,State Representative,10,,Hardin,West Point,,,,,
,Straight Party,,REP,Hardin,Radcliff East ,32,99,131,,
,Straight Party,,DEM,Hardin,Radcliff East ,24,135,159,,
S Brett Guthrie,U.S. House,2,,Hardin,Radcliff East ,46,180,226,,
Hank Linderman,U.S. House,2,,Hardin,Radcliff East ,33,184,217,,
Thomas A Loecken,U.S. House,2,,Hardin,Radcliff East ,4,17,21,,
Dennis L. Parrett,State Senate,10,,Hardin,Radcliff East ,50,262,312,,
Josh Calloway,State Representative,10,,Hardin,Radcliff East ,,,,,
Dean Schamore,State Representative,10,,Hardin,Radcliff East ,,,,,
,Straight Party,,REP,Hardin,Radcliff North ,0,53,53,,
,Straight Party,,DEM,Hardin,Radcliff North ,4,108,112,,
S Brett Guthrie,U.S. House,2,,Hardin,Radcliff North ,4,105,109,,
Hank Linderman,U.S. House,2,,Hardin,Radcliff North ,6,144,150,,
Thomas A Loecken,U.S. House,2,,Hardin,Radcliff North ,0,9,9,,
Dennis L. Parrett,State Senate,10,,Hardin,Radcliff North ,7,192,199,,
Josh Calloway,State Representative,10,,Hardin,Radcliff North ,,,,,
Dean Schamore,State Representative,10,,Hardin,Radcliff North ,,,,,
,Straight Party,,REP,Hardin,Radcliff Northwest ,24,84,108,,
,Straight Party,,DEM,Hardin,Radcliff Northwest ,27,155,182,,
S Brett Guthrie,U.S. House,2,,Hardin,Radcliff Northwest ,34,206,240,,
Hank Linderman,U.S. House,2,,Hardin,Radcliff Northwest ,40,227,267,,
Thomas A Loecken,U.S. House,2,,Hardin,Radcliff Northwest ,3,11,14,,
Dennis L. Parrett,State Senate,10,,Hardin,Radcliff Northwest ,62,315,377,,
Josh Calloway,State Representative,10,,Hardin,Radcliff Northwest ,,,,,
Dean Schamore,State Representative,10,,Hardin,Radcliff Northwest ,,,,,
,Straight Party,,REP,Hardin,Radcliff West,13,113,126,,
,Straight Party,,DEM,Hardin,Radcliff West,26,119,145,,
S Brett Guthrie,U.S. House,2,,Hardin,Radcliff West,28,215,243,,
Hank Linderman,U.S. House,2,,Hardin,Radcliff West,39,189,228,,
Thomas A Loecken,U.S. House,2,,Hardin,Radcliff West,1,13,14,,
Dennis L. Parrett,State Senate,10,,Hardin,Radcliff West,48,268,316,,
Josh Calloway,State Representative,10,,Hardin,Radcliff West,,,,,
Dean Schamore,State Representative,10,,Hardin,Radcliff West,,,,,
,Straight Party,,REP,Hardin,Red Hill,13,97,110,,
,Straight Party,,DEM,Hardin,Red Hill,34,171,205,,
S Brett Guthrie,U.S. House,2,,Hardin,Red Hill,28,190,218,,
Hank Linderman,U.S. House,2,,Hardin,Red Hill,37,253,290,,
Thomas A Loecken,U.S. House,2,,Hardin,Red Hill,3,22,25,,
Dennis L. Parrett,State Senate,10,,Hardin,Red Hill,49,341,390,,
Josh Calloway,State Representative,10,,Hardin,Red Hill,,,,,
Dean Schamore,State Representative,10,,Hardin,Red Hill,,,,,
,Straight Party,,REP,Hardin,Veterans,3,17,20,,
,Straight Party,,DEM,Hardin,Veterans,15,30,45,,
S Brett Guthrie,U.S. House,2,,Hardin,Veterans,5,24,29,,
Hank Linderman,U.S. House,2,,Hardin,Veterans,19,35,54,,
Thomas A Loecken,U.S. House,2,,Hardin,Veterans,1,2,3,,
Dennis L. Parrett,State Senate,10,,Hardin,Veterans,20,46,66,,
Josh Calloway,State Representative,10,,Hardin,Veterans,6,25,31,,
Dean Schamore,State Representative,10,,Hardin,Veterans,20,36,56,,
,Straight Party,,REP,Hardin,Radcliff Southwest,16,115,131,,
,Straight Party,,DEM,Hardin,Radcliff Southwest,29,124,153,,
S Brett Guthrie,U.S. House,2,,Hardin,Radcliff Southwest,40,216,256,,
Hank Linderman,U.S. House,2,,Hardin,Radcliff Southwest,45,171,216,,
Thomas A Loecken,U.S. House,2,,Hardin,Radcliff Southwest,2,20,22,,
Dennis L. Parrett,State Senate,10,,Hardin,Radcliff Southwest,68,270,338,,
Josh Calloway,State Representative,10,,Hardin,Radcliff Southwest,36,209,245,,
Dean Schamore,State Representative,10,,Hardin,Radcliff Southwest,51,197,248,,
,Straight Party,,REP,Hardin,Fort Knox 26,2,64,66,,
,Straight Party,,DEM,Hardin,Fort Knox 26,1,69,70,,
S Brett Guthrie,U.S. House,2,,Hardin,Fort Knox 26,3,103,106,,
Hank Linderman,U.S. House,2,,Hardin,Fort Knox 26,1,102,103,,
Thomas A Loecken,U.S. House,2,,Hardin,Fort Knox 26,0,7,7,,
Dennis L. Parrett,State Senate,10,,Hardin,Fort Knox 26,2,143,145,,
Josh Calloway,State Representative,10,,Hardin,Fort Knox 26,,,,,
Dean Schamore,State Representative,10,,Hardin,Fort Knox 26,,,,,
,Straight Party,,REP,Hardin,Fort Knox 27,0,6,6,,
,Straight Party,,DEM,Hardin,Fort Knox 27,0,9,9,,
S Brett Guthrie,U.S. House,2,,Hardin,Fort Knox 27,1,9,10,,
Hank Linderman,U.S. House,2,,Hardin,Fort Knox 27,1,11,12,,
Thomas A Loecken,U.S. House,2,,Hardin,Fort Knox 27,1,0,1,,
Dennis L. Parrett,State Senate,10,,Hardin,Fort Knox 27,3,13,16,,
Josh Calloway,State Representative,10,,Hardin,Fort Knox 27,,,,,
Dean Schamore,State Representative,10,,Hardin,Fort Knox 27,,,,,
,Straight Party,,REP,Hardin,Radcliff South,1,75,76,,
,Straight Party,,DEM,Hardin,Radcliff South,2,72,74,,
S Brett Guthrie,U.S. House,2,,Hardin,Radcliff South,1,172,173,,
Hank Linderman,U.S. House,2,,Hardin,Radcliff South,2,104,106,,
Thomas A Loecken,U.S. House,2,,Hardin,Radcliff South,1,14,15,,
Dennis L. Parrett,State Senate,10,,Hardin,Radcliff South,4,190,194,,
Josh Calloway,State Representative,10,,Hardin,Radcliff South,,,,,
Dean Schamore,State Representative,10,,Hardin,Radcliff South,,,,,
,Straight Party,,REP,Hardin,Radcliff Southeast,27,86,113,,
,Straight Party,,DEM,Hardin,Radcliff Southeast,41,192,233,,
S Brett Guthrie,U.S. House,2,,Hardin,Radcliff Southeast,42,207,249,,
Hank Linderman,U.S. House,2,,Hardin,Radcliff Southeast,54,276,330,,
Thomas A Loecken,U.S. House,2,,Hardin,Radcliff Southeast,4,12,16,,
