county,precinct,precinct_name,registered_voters,reg_dem_voters,reg_rep_voters,reg_other_voters,reg_ind_voters,reg_lib_voters,reg_grn_voters,reg_const_voters,reg_reform_voters,reg_socwk_voters,reg_male_voters,reg_female_voters
Adair,A102,WHITE OAK,454,77,361,7,9,0,0,0,0,0,226,228
Adair,A104,EUNICE PELLYTON,758,128,581,24,24,1,0,0,0,0,396,362
Adair,A105,LITTLE CAKE,579,80,464,14,20,1,0,0,0,0,287,292
Adair,B102,E. COLUMBIA,1033,318,636,37,39,1,2,0,0,0,464,569
Adair,B104,OZARK,733,163,527,23,16,4,0,0,0,0,371,362
Adair,C102,SOUTH COLUMBIA HARMONY,851,263,532,30,25,0,1,0,0,0,420,431
Adair,C104,GLENSFORK MELSON RIDGE,971,271,653,23,22,2,0,0,0,0,453,518
Adair,D101,GRADYVILLE NELL,663,129,486,34,13,0,1,0,0,0,350,313
Adair,D103,SPARKSVILLE BREEDING,683,158,451,40,34,0,0,0,0,0,336,347
Adair,D104,SOUTH COLUMBIA NO. 2,698,227,428,18,20,4,0,1,0,0,313,385
Adair,E101,MILLTOWN,805,168,593,27,16,1,0,0,0,0,404,401
Adair,E104,WEST COLUMBIA,1322,417,831,40,31,3,0,0,0,0,561,761
Adair,F101,CANE VALLEY HOLMES,1219,419,742,36,22,0,0,0,0,0,616,603
Adair,F103,KNIFLEY ROLEY,754,229,471,29,23,1,1,0,0,0,383,371
Adair,G101,NORTH COLUMBIA,1047,272,724,29,21,1,0,0,0,0,488,559
Adair,G102,HURT,1065,260,752,28,23,2,0,0,0,0,502,563
Allen,A101,ONE,1635,550,931,119,31,3,0,0,0,1,722,913
Allen,A102,FOUR,1287,380,805,77,20,2,1,1,0,1,631,656
Allen,B101,TWO,1160,354,723,66,16,0,1,0,0,0,551,609
Allen,B102,FIVE,1134,324,737,54,17,1,1,0,0,0,552,582
Allen,B103,NINE,555,181,338,28,8,0,0,0,0,0,275,280
Allen,C101,THREE,1656,512,1021,79,37,3,4,0,0,0,724,932
Allen,C102,SIX,1570,466,1011,63,21,8,1,0,0,0,758,812
Allen,D101,SEVEN,1618,465,1032,75,42,3,1,0,0,0,799,819
Allen,D102,EIGHT,678,222,397,43,13,2,0,1,0,0,339,339
